"Aseua3","Aseua5","Lifespan","RightTarsus","BodyMass","HeadBill","WingLength","dROMsAssay","dROMsAbs505nm","dROMsAbs546nm","dROMsCARRU505nm","dROMsCARRU546nm","natalTQ","dROMs505mMolH2O2","dROMs546mMolH2O2","Froh_imp","OXYabs505nm","OXYabs546nm","OXYmMolHClO505nm","OXYmMolHClO546nm","SexEstimate","FatherAge","MotherAge","ParentLifespan_1","ParentLifespan_0"
1,0,7,25.8,16.3666666666667,37.3,67,35,2.513,2.31,191.0745,159.3952,29498.92,4.585789,3.825486,0.112816854,0.508,0.551,151.0827,153.9503,1,1816.33935585232,1696,9.00320530038499,7.48219178082192
1,0,7,26,15.7,37.2,69,35,2.513,2.31,191.0745,159.3952,29498.92,4.585789,3.825486,0.112816854,0.508,0.551,151.0827,153.9503,1,1816.33935585232,1696,9.00320530038499,7.48219178082192
1,0,16,26.3,16,37.4,68,28,0.994,0.682,73.509,41.175,7373.79,1.764,0.988,0.118950556,0.489,0.539,132.696,133.846,1,2521,1364,11.2438356164384,13.572602739726
1,0,16,26.32,16,36.8,68,28,0.994,0.682,73.509,41.175,7373.79,1.764,0.988,0.118950556,0.489,0.539,132.696,133.846,1,2521,1364,11.2438356164384,13.572602739726
1,0,16,26.5,16.8,37.3,68,28,0.994,0.682,73.509,41.175,7373.79,1.764,0.988,0.118950556,0.489,0.539,132.696,133.846,1,2521,1364,11.2438356164384,13.572602739726
1,0,16,26.9,15.5,37,68,28,0.994,0.682,73.509,41.175,7373.79,1.764,0.988,0.118950556,0.489,0.539,132.696,133.846,1,2521,1364,11.2438356164384,13.572602739726
1,0,16,25.6,16.8,36.9,68,28,0.994,0.682,73.509,41.175,7373.79,1.764,0.988,0.118950556,0.489,0.539,132.696,133.846,1,2521,1364,11.2438356164384,13.572602739726
1,0,16,26.3,17.8,37.2,69,28,0.994,0.682,73.509,41.175,7373.79,1.764,0.988,0.118950556,0.489,0.539,132.696,133.846,1,2521,1364,11.2438356164384,13.572602739726
0,1,13,25.3,14.2,35.9,67,34,1.77275,1.56975,144.5093,117.4679,18077.12,3.468223,2.819231,0.147452611,0.542,0.597,132.5607,133.5011,0,1515,859,13.8109589041096,7.98356164383562
0,1,13,24.5,17.7,33.3571428571429,63.5714285714286,34,1.77275,1.56975,144.5093,117.4679,18077.12,3.468223,2.819231,0.147452611,0.542,0.597,132.5607,133.5011,0,1515,859,13.8109589041096,7.98356164383562
0,1,13,23.4,15.5,19.5,44,34,1.77275,1.56975,144.5093,117.4679,18077.12,3.468223,2.819231,0.147452611,0.542,0.597,132.5607,133.5011,0,1515,859,13.8109589041096,7.98356164383562
0,1,13,24.1,15.4,36,68,34,1.77275,1.56975,144.5093,117.4679,18077.12,3.468223,2.819231,0.147452611,0.542,0.597,132.5607,133.5011,0,1515,859,13.8109589041096,7.98356164383562
0,1,13,25.1,15.6,36.3,68,34,1.77275,1.56975,144.5093,117.4679,18077.12,3.468223,2.819231,0.147452611,0.542,0.597,132.5607,133.5011,0,1515,859,13.8109589041096,7.98356164383562
